Model,Accuracy,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.7721,0.3936,0.7872,0.5248,0.8062
Random Forest,0.8537,0.5909,0.2766,0.3768,0.7979
XGBoost,0.8639,0.6296,0.3617,0.4595,0.7928
